verb,noun,instruction
save,money,Maria has been saving money for a new bike and has $235 in her savings account. she plans to buy a bike that costs $280. how much more does she need to save each month to reach her goal?
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. he plans to buy a bike that costs $23 more than he currently has. if the result of the expression $(x!-(x-3)!) \div 23$ equals 1, what is the value of x?"
have,amount,"Maria and her brother have different amounts of money, m and m dollars respectively. they spend their combined amount on two movie tickets that cost $\$$12 each and a snack that costs$\$$5. if they also find$\$$4 in a parking lot, how much did maria's brother have before buying these items?"
plan,trip,"Two friends, ahmed and omar, are planning a road trip from city a to city b that is 275 miles long. if they drive at an average speed of 45 miles per hour and plan to make stops along the way, how many hours will they take to complete the journey?"
have,type,"A school has 5 different types of pencils that sell for $0.50, $1.00, $2.00, $3.00, and $4.00 each. the average cost per pencil is $1.75. what is the maximum possible total amount of money the school can spend on buying these 5 pencils?"
sell,loaf,A bakery sells 240 loaves of bread at $2.25 each and 120 loaves at $1.75 each. how much money does the bakery make in a day from selling bread?
plan,trip,"Maria is planning a road trip and needs to rent a car that can hold 25 passengers, but she only needs to seat 7 people. if she also wants to have some extra space for luggage, how much extra space will she need?"
sell,loaf,"A bakery sells $2000$ loaves of bread at $\$3$ each. after a price decrease of $\$0.50,$ they sell$1800$loavesof bread for$\$(2.50)$each. what was the original number of loaves sold before the price decrease?"
have,box,"Tom has 18 boxes of pens, and each box contains 8 pens. if he gives away half of his pens to his friends, what is the total number of pens tom gave away?"
sell,total,A bakery sells a total of $225$ cupcakes in a day. they come in packs of $15$. how many packs were sold?
sell,loaf,"A bakery sells 250 loaves of bread per day. they make their bread in batches of 12, 16, or 24 loaves each. which batch size should they increase to meet the demand, given that they already produce 192 loaves per day with three of each batch size?"
find,measure,"In a triangle $abc,$ $\angle b = 60^\circ$ and $\angle c = 30^\circ.$ find the measure of $\angle a.$"
have,factory,"Tom's town has two factories that produce trucks, and each factory can produce 200 trucks per hour. however, the first factory is currently on a planned maintenance shutdown from april 1st to may 15th. if the second factory starts operating at full capacity one day earlier than the scheduled start time of the first factory, how many more trucks will the second factory produce during the same period?"
have,perimeter,"A rectangle has a perimeter of 48 inches. if one angle measures 60 degrees, find the lengths of its two adjacent sides."
sell,loaf,A bakery sells 250 loaves of bread per day. each loaf costs either $2 or $3. the ratio of $2 to $3 loaves sold is 3:5. how much does the bakery make in revenue on a typical day?
have,volume,"A shipping container has a volume of $200 \text{ cu. ft.}$, and it is to be filled with blocks of varying sizes. if the total weight of the blocks in the container is $3000 \text{ lbs}$, find the average weight of each block."
find,length,The area of a rectangular garden measures $15\text{ m}^2$ and its perimeter is $20\text{ m}$. find the length of one side of the garden.
have,area,A rectangular garden has an area of 12 square meters and a perimeter of 24 meters. find the length and width of the garden.
have,perimeter,"The length of a rectangle with integer dimensions $a$ and $b$ has a perimeter of $20$, and $a+b=10$. find all possible combinations of $(a,b)$ that satisfy these conditions."
save,money,"Tom has been saving money for a new bike and has $120 in his savings account. he plans to mow lawns to earn more money, with each lawn costing $8 to mow and bringing in $15 after expenses. if he wants to know how many lawns he needs to mow to have enough money to buy a bike that costs $\$240,$ determine how many lawns tom will need to mow."
sell,type,"A bakery sells three types of muffins: blueberry, banana, and cinnamon. the price of each blueberry muffin is \$$1.50,\)$1.25,$and$\$1.00,respectively. if a customer buys two blueberry muffins, two banana muffins, and one cinnamon muffin, what is the total cost?"
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. he wants to buy a bike that costs $18 more than he currently has, so he plans to save an additional $18 per week until he has enough money. if his total savings will be $2x$ after 6 weeks, what is the initial amount of money tom had in his savings account?"
sell,type,"A bakery sells two types of bread: whole wheat and white. the ratio of whole wheat to white bread is 3:5. if a batch of dough yields 48 pieces of bread, how many pieces of each type should be baked if the baker wants to minimize the cost of packaging?"
angle,b,"In a given triangle $\triangle abc$, angle $\angle b = 60^\circ$. what is the measure of angle $\angle c$?"
sell,loaf,"A local bakery sells 240 loaves of bread per day, and they make a profit of $0.50 on each loaf. if the total daily profit is $120, how much does the bakery spend on flour?"
have,employee,A company has 15 employees who work 8 hours a day. the total cost of labor for all employees is $3600 per day. how many employees earn less than $20 per hour?
build,fence,"In a small village, 19 men can build a fence around a rectangular garden in 3 days. how many hours would it take 7 men to do the same job?"
have,basket,"A farmer has 5 baskets of apples, and each basket can hold a maximum of 8 apples. what is the total number of apples that the farmer can collect from all 5 baskets if each basket contains the same number of apples?"
